manufactor,Year,model,Hand,Gear,capacity_Engine,Engine_type,Prev_ownership,Curr_ownership,Area,City,Price,Pic_num,Cre_date,Repub_date,Description,Color,Km,Test,Supply_score
שברולט,1990,קורבט,1,אוטומטית,5500,בנזין,פרטית,אחר,רעננה - כפר סבא,כפר סבא,129000.0,23,2021-10-15,2022-02-06,"רכב שמור במצב נדיר,בשנת 1986 יוצרו הרכבים האלו עם חבילת מדבקות חיצונית ולוח מקורות פנים. רק 7,135 מכוניות קורבט כאלו נבנו בשנת 1986. מייל נמוך, יד ראשונה , מתחת למכסה המנוע של מונח מנוע V-8 350CI L98 מכוון דלק, שהוצמד לתיבת הילוכים אוטומטית בעלת 4 הילוכים. מכונית פייס ספציפית זו צבועה בלבן פריכה ומודגשת עם פנים עור גרפיט. מיזוג אוויר, רדיו קלטות AM/FM, תמיכה מותנית, מושבי כוח, בלמי כוח, הגה כוח, חלונות חשמל, מנעולי חשמל, מראות כוח, בקרת שיוט, בלמים נגד נעילה ועוד הרבה הרבה יותר. קורבט 1998 היא בין מכונית הספורט האמיתית הטובה ביותר שהכסף שלך יכול לקנות. סלקט מוטורס SelectMotors.org יבוא אישי רכבי יוקרה אופנועים ואספנות 050-5829568",לבן,47513,,3
שברולט,1990,קורבט,1,אוטומטית,6000,בנזין,פרטית,אחר,רעננה - כפר סבא,כפר סבא,119000.0,14,2021-10-15,2022-02-06,"הרכב במצב נדיר, שמורה ומטופלת כחדשה, רק 37.400 ק""מ, גג פנורמי מושחר, V8 בנפח 5.7 ליטר בהספק 240 כ""ס עם הזרקת דלק כוונון. תיבת הילוכים  אוטומטית, קורבט 1998 היא בין מכונית הספורט האמיתית הטובה ביותר שהכסף שלך יכול לקנות. סלקט מוטורס SelectMotors.org יבוא אישי רכבי יוקרה אופנועים ואספנות 050-5829568 ",שחור,37400,,3
שברולט,2005,אבאו,4,ידנית,1400,בנזין,פרטית,פרטית,ראש העין והסביבה,ראש העין,4500.0,4,2021-10-01,2021-10-05,"רכב חסכוני בדלק, בבעלותי 9 שנים, צמיגים חדשים.",כסף מטלי,178000,,1
שברולט,2008,אוואו,3,אוטומטית,1399,בנזין,N/A,N/A,רעננה - כפר סבא,כפר סבא,6500.0,0,2022-10-27,2022-10-27,רכב מעולה נוסע ,N/A,,,5
שברולט,2011,קרוז,2,אוטומטית,1600,בנזין,N/A,N/A,עמק יזרעאל,מגדל העמק,10500.0,0,2022-09-29,2022-09-29,"שברולט קרוז 2011 יוצאת למכירה  שמורה בקנאות, נהג יחיד.  טסט לשנה 05/22 200אלף קילומטר  מצבר חדש, צמיגים חדשים, טיפול 10 אלף כולל הכל פילטר שמן, אוויר, שמן ומים, רצועת טיימינג, פלאגים מכסה שסתומים ועוד… מזגן חום קור פצצה.  החלפו קולר, מחזירי שמן.  מצב מכאני מדהים כל הקודם זוכה! לפרטים- 0586474564",N/A,200000,,8
שברולט,2009,מאליבו,1,אוטומטית,3510,בנזין,N/A,N/A,תל אביב,תל אביב יפו,26000.0,0,2022-09-19,2022-09-19,"כמו חדש !! ללא תאונות, נוחות ישיבה אדירה, מושב נהג כיונון חשמלי,   פירוט:  טלפון קבוע ברכב.",N/A,64700,,2
שברולט,2010,מאליבו,3,אוטומטית,3500,בנזין,N/A,N/A,באר שבע והסביבה,באר שבע,15000.0,0,2022-09-13,2022-09-13,No description,N/A,160243,,5
שברולט,2009,מאליבו,1,אוטומטית,3510,בנזין,N/A,N/A,תל אביב,תל אביב יפו,26000.0,0,2022-09-09,2022-09-09,"יד ראשונה, נהג יחיד, שמורה היטב, ללא תאונות.  לרציניים, אוהבי מכוניות אמריקאיות !!! ",N/A,64700,,2
שברולט,2008,אבאו,3,אוטומטית,1500,בנזין,חברה,פרטית,רמת גן - גבעתיים,בני ברק,3500.0,0,2022-08-31,2022-08-31,"בס""ד רכב במצב טוב מאוד הכל תקין טסט לשנה מחיר זול עקב קבלת רכב מהעבודה נא לא לחייג בשבת נהגת יחידה ",לבן,190000,,2
שברולט,2008,אבאו,3,אוטומטית,1500,בנזין,חברה,פרטית,רמת גן - גבעתיים,בני ברק,3500.0,0,2022-08-31,2022-08-31,"בס""ד רכב במצב טוב מאוד הכל תקין טסט לשנה מחיר זול עקב קבלת רכב מהעבודה",לבן,190000,,2
